Level_Code,University,City,Course,Faculty,Int_Fees,Local_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_3,Prerequisite_1_grade,Prerequisite_2_grade,Prerequisite_3_grade,Website,Course_Lang,Availability,Description,Career_Outcomes,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks
PG,Australian Catholic University,Perth,Graduate Diploma in Natural Resources Law,Tourism and Hotel Management,,,AUD,year,6,months,yes,yes,IELTS,,,6.5,,,https://www.uwa.edu.au/study/courses/graduate-diploma-in-natural-resources-law,English,A,"Gain expertise to pursue careers in the mining and energy industries and natural resources more generally by gaining a strong understanding of their regulatory and commercial context. Apart from mining and oil and gas law this includes corporate governance, environmental laws, climate change, human rights, commercial agreements and construction contracts.",Lawyer / Policy Analyst / Policy and Planning Manager,Australia,no,yes,no,yes,no,
BA,Australian Catholic University,Perth,"Higher Degree by Research Preliminary - Engineering, Computing and Mathematics",Engineering,,,AUD,year,1,year,yes,yes,IELTS,,,6.5,,,https://www.uwa.edu.au/study/courses/higher-degree-by-research-preliminary--engineering-computing-and-mathematics,English,A,"In accordance with University policy, you may have to complete an approved preliminary course of study tailored to your requirements to ensure adequate research preparation to satisfy the eligibility requirements for the Master of Philosophy (MPhil) or Doctor of Philosophy (PhD).",Academic / Chemical Engineer / Developer Programmer / Electrical Engineer,Australia,no,yes,no,yes,no,
PG,Australian Catholic University,Perth,Graduate Certificate in Social Research Methods,Humanities and Social Science,,,AUD,year,6,months,yes,yes,IELTS,,,6.5,,,https://www.uwa.edu.au/study/courses/graduate-certificate-in-social-research-methods,English,A,"Skilful social researchers are in high demand around the world as we seek to understand why people think and act the way they do, and how to improve peoples’ lives. Applications include identifying and understanding peoples’ attitudes and behaviours in relation to: inequality; education; consumption; immigration; social media; crime; environmental protection; healthy behaviours; the impact of a new industry; the effectiveness of a new policy or program; and more.","Analyst / Anthropologist / Chief Information Officer / Contract, Program and Project Administrators",Australia,no,yes,no,yes,no,
SHORT COURSES,Australian Catholic University,Perth,Master of Music International Pedagogy - Coursework and Dissertation,Law,,,AUD,year,2,years,yes,no,IELTS,,,6.5,,,https://www.uwa.edu.au/study/courses/master-of-music-international-pedagogy---coursework-and-dissertation,English,A,"The Master of Music International Pedagogy provides the skills for teachers to become exceptional conductors of choirs, orchestras and bands, and understand the way in which students of the twenty-first century learn.",Music Professional / Music Teacher / Musician,Australia,yes,yes,no,yes,no,
PG,Australian Catholic University,Perth,Master of Business Analytics,Business & Commerce & Finance & Accounting,,,AUD,year,1.5,years,yes,yes,IELTS,,,6.5,,,https://www.uwa.edu.au/study/courses/master-of-business-analytics,English,A,"Today’s businesses have an increasing need to make sense of the large quantities of structured and unstructured data that are generated. Understanding how to integrate large and complex data sets, and transform data into meaningful insights and actions, is vital for business success.",Analyst / Chief Information Officer / Intelligence Analyst / Network Analyst,Australia,no,yes,no,yes,no,
PG,Australian Catholic University,Perth,Master of Ocean Leadership,Humanities and Social Science,,,AUD,year,1.5,years,yes,yes,IELTS,,,6.5,,,https://www.uwa.edu.au/study/courses/master-of-ocean-leadership,English,A,"Learn about the issues facing our oceans through a multidisciplinary course, bringing together knowledge from science, engineering, law and environmental management.",Analyst / Conservation Officer / Conservationist / Econometrician,Australia,no,yes,no,yes,no,
PG,Australian Catholic University,Perth,Graduate Diploma in Law,Law,,,AUD,year,6,months,yes,yes,IELTS,,,6.5,,,https://www.uwa.edu.au/study/courses/graduate-diploma-in-law,English,A,This course is available to graduates with a recognised law degree who wish to pursue advanced or further study in law.,Policy Analyst / Government Agencies Researcher,Australia,no,yes,no,yes,no,
PG,Australian Catholic University,Perth,Graduate Certificate in the Diagnosis and Assessment of Fetal Alcohol Spectrum Disorders (FASD),Science and Health Science,,,AUD,year,6,months,no,yes,IELTS,,,6.5,,,https://www.uwa.edu.au/study/courses/graduate-certificate-in-the-diagnosis-and-assessment-of-fetal-alcohol-spectrum-disorders-fasd,English,A,"This online course will provide graduates trained in psychology, speech pathology, social work, occupational therapy, medicine (including paediatrics and psychiatry) with further specialised knowledge of Fetal Alcohol Spectrum Disorders (FASD), including features of FASD and how to diagnose and assess for FASD.",Research and Development Manager / Health Diagnostic and Promotion Professional / Health Promotion Officer / Health Researcher,Australia,yes,no,no,no,no,
PG,Australian Catholic University,Perth,Graduate Certificate in Business Psychology,Business & Commerce & Finance & Accounting,,,AUD,year,1,year,yes,yes,IELTS,,,6.5,,,https://www.uwa.edu.au/study/courses/graduate-certificate-in-business-psychology,English,A,"The Graduate Certificate in Business Psychology will develop your understanding and skills to apply psychological knowledge to create better workplaces. Learn to optimise team member motivation and performance in regard to productivity, reliability, safety and well being. The course is taught by a team of experts in various aspects of workplace psychology, who have many years of experience in industry and research, and a passion for sharing their knowledge.",Business Administration Manager / Workplace Relations Adviser / Human Resource Professional / Research Officer,Australia,yes,no,no,no,no,
PG,Australian Catholic University,Perth,Master of Studies,Business & Commerce & Finance & Accounting,,,AUD,year,1.5,years,yes,yes,IELTS,,,6.5,,,https://www.uwa.edu.au/study/courses/master-of-studies,English,A,"This course is designed for graduates who have interdisciplinary personal, academic and/or professional interests and who want to pursue those interests through postgraduate study.",Academic / Anthropologist / Arts Professional / Biochemist/ Molecular Biologist,Australia,no,yes,no,yes,no,
DPG,Australian Catholic University,Perth,Juris Doctor (JD),Law,,,AUD,year,3,years,yes,yes,IELTS,,,6.5,,,https://www.uwa.edu.au/study/courses/juris-doctor,English,A,"A successful career in a demanding profession requires comprehensive training. The Juris Doctor gives you the knowledge and skills necessary to become the lawyer you want to be and a lawyer the world needs. You'll enter the competitive graduate market with an edge, with a prestigious qualification offered by institutions such as Harvard, Yale and Columbia universities.","Lawyer / Conservation Officer / Contract, Program and Project Administrators / Corporate General Manager",Australia,no,yes,no,yes,no,
PG,Australian Catholic University,Perth,Master of Laws,Law,,,AUD,year,1,year,yes,yes,IELTS,,,6.5,,,https://www.uwa.edu.au/study/courses/master-of-laws,English,A,"This course is designed to equip practicing lawyers and law graduates with an advanced understanding of the law to meet the challenges of the dynamic workplace. You'll learn from world-class professors at a Top 100 university and study with the next generation of leaders in legal practice, government, business and the not-for-profit sector.",Lawyer / Academic,Australia,no,yes,no,yes,no,
BA,Australian Catholic University,Perth,Higher Degree by Research Preliminary - Law,Engineering,,,AUD,year,1,year,yes,yes,IELTS,,,6.5,,,https://www.uwa.edu.au/study/courses/higher-degree-by-research-preliminary---law,English,A,"A faculty or the Board of the Graduate Research School may require students who have applied to undertake a higher degree by research course to complete a preliminary course to ensure that they possess the necessary knowledge and research skills to complete the proposed course successfully, in the context of maintaining the University's reputation as a university of the highest international standing.",Lawyer / Academic,Australia,no,yes,no,yes,no,
PG,Australian Catholic University,Perth,Master of Landscape Architecture,Computer Science & Information Technology,,,AUD,year,2,years,yes,yes,IELTS,,,6.5,,,https://www.uwa.edu.au/study/courses/master-of-landscape-architecture,English,A,Study at the only university in the state with an accredited Landscape Architecture program. Become a critical thinker with rigorous skills in the pragmatic and theoretical art of landscape design and manipulation. ,Environmental Consultant / Environmental Manager / Urban Designer / Landscape Architect,Australia,no,yes,no,yes,no,
PG,Australian Catholic University,Perth,Graduate Certificate in Health Professions Education,English,,,AUD,year,1,year,yes,yes,IELTS,,,6.5,,,https://www.uwa.edu.au/study/courses/graduate-certificate-in-health-professions-education,English,A,Participants in this course are offered a range of options specific to health professionals from the Faculty of Health and Medical Sciences.,Academic / Disease Prevention Educator / Training and Development Professional,Australia,yes,yes,no,yes,no,
BA,Australian Catholic University,Perth,"Higher Degree by Research Preliminary - Architecture, Landscape and Visual Arts",Engineering,,,AUD,year,1,year,yes,yes,IELTS,,,6.5,,,https://www.uwa.edu.au/study/courses/higher-degree-by-research-preliminary--architecture-landscape-and-visual-arts,English,A,"A faculty or the Board of the Graduate Research School may require students who have applied to undertake a higher degree by research course to complete a preliminary course to ensure that they possess the necessary knowledge and research skills to complete the proposed course successfully, in the context of maintaining the University's reputation as a university of the highest international standing.",Architect / Arts Administrator or Manager / Arts Professional / Landscape Architect,Australia,no,yes,no,yes,no,
PG,Australian Catholic University,Perth,Master of Biotechnology,Computer Science & Information Technology,,,AUD,year,2,years,yes,yes,IELTS,,,6.5,,,https://www.uwa.edu.au/study/courses/master-of-biotechnology,English,A,"Using world-leading research staff, business experts and mentors in biotechnology companies, you're provided with the fundamental academic and business skills needed to make a significant contribution to the biotechnology sector. You can specialise in either AQUAtech, Biochemistry and Molecular Biology, Environmental and Agricultural Biotechnology or Genetics and Genomics.",Academic / Agricultural Consultant / Agricultural Scientist / Biochemist/ Molecular Biologist,Australia,no,yes,no,yes,no,
PG,Australian Catholic University,Perth,Master of Dental Public & Primary Health,English,,,AUD,year,2,years,yes,yes,IELTS,,,6.5,,,https://www.uwa.edu.au/study/courses/master-of-dental-public--primary-health,English,A,"This program fosters the development of critical analysis and research competence, along with the advanced set of knowledge and skills in dental public health that is required by those seeking to specialise in this field.",Dentist,Australia,no,yes,no,yes,no,
BA,Australian Catholic University,Perth,Higher Degree by Research Preliminary - Science,Engineering,,,AUD,year,1,year,yes,yes,IELTS,,,6.5,,,https://www.uwa.edu.au/study/courses/higher-degree-by-research-preliminary---science,English,A,"This course provides the skills and knowledge required to complement the student's previous studies. On satisfactory completion, students may be able to undertake independent research for a higher degree.",Academic / University Lecturer,Australia,no,yes,no,yes,no,
PG,Australian Catholic University,Perth,Graduate Certificate in Health Leadership and Management,English,,,AUD,year,1,year,no,yes,IELTS,,,6.5,,,https://www.uwa.edu.au/study/courses/graduate-certificate-in-health-leadership-and-management,English,A,,Health Researcher / Medical Administrator / Program or Project Manager,Australia,no,yes,no,yes,no,
PG,Australian Catholic University,Perth,Graduate Diploma in Clinical Neuropsychology,Medical and Nursing,,,AUD,year,2,years,yes,yes,IELTS,,,6.5,,,https://www.uwa.edu.au/study/courses/graduate-diploma-in-clinical-neuropsychology,English,A,"The Graduate Diploma in Clinical Neuropsychology serves as a bridging degree to allow individuals who are qualified as Clinical Psychologists, with the Psychology Board of Australia and have completed at least a master's degree or equivalent in Clinical Psychology, to up skill in Clinical Neuropsychology, allowing them eligibility for endorsement as a Clinical Neuropsychologist with AHPRA.",Psychologist / Health Diagnostic and Promotion Professional / Health Promotion Officer / Health Researcher,Australia,no,yes,no,yes,no,
PG,Australian Catholic University,Perth,Master of Legal Practice,Law,,,AUD,year,2,years,yes,yes,IELTS,,,6.5,,,https://www.uwa.edu.au/study/courses/master-of-legal-practice,English,A,"By studying a Master of Legal Practice, you will be eligible to practise in WA. You’ll learn from world-class professors at a top 100 university and study with the next generation of leaders in legal practice, government, business and the not-for-profit sector. Graduates of this program can apply for admission to legal practice in Western Australia. Requirements for study may be set by the Legal Practice Board.",Lawyer / Legal Adviser,Australia,no,yes,no,yes,no,
PG,Australian Catholic University,Perth,Graduate Certificate in Business,Business & Commerce & Finance & Accounting,,,AUD,year,8,months,yes,yes,IELTS,,,6.5,,,https://www.uwa.edu.au/study/courses/graduate-certificate-in-business,English,A,"The Graduate Certificate in Business comprises postgraduate courses in economics, marketing, organisation behaviour and accounting.",Account Manager / Business Administration Manager / Finance Manager / General Manager,Australia,yes,yes,no,yes,no,
PG,Australian Catholic University,Perth,Graduate Diploma in School Psychology,Science and Health Science,,,AUD,year,1,year,yes,no,IELTS,,,6.5,,,https://www.uwa.edu.au/study/courses/graduate-diploma-in-school-psychology,English,A,The minimum prerequisite for this course is a four-year degree in psychology. Applicants must have completed an approved course of study in psychology and be eligible for registration as a psychologist. The psychology qualification must be no more than 9 years old.,School Psychologist,Australia,no,yes,no,yes,no,
PG,Australian Catholic University,Perth,Master of Building Information Modelling,Computer Science & Information Technology,,,AUD,year,1,year,yes,yes,IELTS,,,6.5,,,https://www.uwa.edu.au/study/courses/master-of-building-information-modelling,English,A,"BIM is a new paradigm in construction. Today, the industry uses 3D models as the basis of a building inception, design, construction management and facilities management. The mastery of BIM puts you at the forefront of the construction industry, allowing you to have a direct impact on the quality of our built environment. It will allow you to become a decision-maker rather than simply a team member.
",Urban Designer / Architect / Engineer / Environmental Engineer,Australia,yes,yes,no,yes,no,
PG,Australian Catholic University,Perth,Graduate Diploma in Advanced Social Work,Humanities and Social Science,,,AUD,year,1,year,yes,yes,IELTS,,,6.5,,,https://www.uwa.edu.au/study/courses/graduate-diploma-in-advanced-social-work,English,A,This course is open to social work graduates with a minimum of two years' experience as a professional social worker.,Social Worker,Australia,no,yes,no,yes,no,
PG,Australian Catholic University,Perth,Graduate Diploma in International Relations,Humanities and Social Science,,,AUD,year,1,year,yes,yes,IELTS,,,6.5,,,https://www.uwa.edu.au/study/courses/graduate-diploma-in-international-relations,English,A,A professionally oriented course for graduates and practitioners seeking expertise in international relations. ,Journalist / Foreign Affairs and Trade Officer / Intelligence Analyst / Parliamentarian,Australia,no,yes,no,yes,no,
BA,Australian Catholic University,Perth,Higher Degree by Research Preliminary - Medicine and Health Science,English,,,AUD,year,1,year,yes,yes,IELTS,,,6.5,,,https://www.uwa.edu.au/study/courses/higher-degree-by-research-preliminary-medicine-and-health-science,English,A,"This course is for students who wish to undertake a higher degree by research but who are not considered to have adequate research preparation. The preliminary course of study is designed on a case-by-case basis with the student. Students need a mark for their Higher Degree by Research Prelim research output of at least: 
• 65% to meet the adequate research preparation for the HDR research Masters 
• 70% to meet the adequate research preparation for a PhD
Students also need to meet all the other admission requirements in order to progress to a higher degree by research.
All students interested in the higher degree by research preliminary course must contact the Faculty before applying.",Journalist / Foreign Affairs and Trade Officer / Intelligence Analyst / Parliamentarian,Australia,no,yes,no,yes,no,
